Algorithm,Precision,Recall,Fmeasure_Score,hamming_loss,Accuracy_Score,Train/Test_Size,Project
Baseline,0.4188422247446084,0.46886912325285895,0.4424460431654676,0.4574520413182489,0.5425479586817511,0.4,audacity
Baseline,0.42026431718061674,0.6060991105463787,0.4963579604578563,0.47614363010329563,0.5238563698967044,0.4,audacity
Baseline,0.5394736842105263,0.4167725540025413,0.4702508960573477,0.3635022134776193,0.6364977865223806,0.4,audacity
Baseline,0.3825929283771532,0.5362134688691232,0.44656084656084655,0.514510575504181,0.485489424495819,0.4,audacity
Baseline,0.4503386004514673,0.5069885641677255,0.47698744769874485,0.4303984259714707,0.5696015740285293,0.4,audacity
Baseline,0.35933609958506224,0.5501905972045743,0.4347389558232932,0.5538612887358584,0.4461387112641416,0.4,audacity
Baseline,0.5414634146341464,0.5641677255400254,0.552582451773491,0.3536645351697,0.6463354648303,0.4,audacity
Baseline,0.37027379400260757,0.36086404066073696,0.36550836550836546,0.48499754058042305,0.515002459419577,0.4,audacity
Baseline,0.4474308300395257,0.7191867852604829,0.5516569200779727,0.4525332021642892,0.5474667978357108,0.4,audacity
Baseline,0.4980891719745223,0.49682337992376113,0.4974554707379135,0.38858829316281357,0.6114117068371865,0.4,audacity
H1,0.5054229934924078,0.3595679012345679,0.42019837691614065,0.3162813575996065,0.6837186424003935,0.4,audacity
H1,0.4682352941176471,0.6141975308641975,0.5313751668891856,0.3453025086079685,0.6546974913920315,0.4,audacity
H1,0.45878524945770066,0.6527777777777778,0.5388535031847134,0.3561239547466798,0.6438760452533202,0.4,audacity
H1,0.39461883408071746,0.5432098765432098,0.4571428571428571,0.411214953271028,0.5887850467289719,0.4,audacity
H1,0.35390946502057613,0.5308641975308642,0.4246913580246913,0.4584358091490408,0.5415641908509592,0.4,audacity
H1,0.38608305274971944,0.5308641975308642,0.44704353476283304,0.41859321200196753,0.5814067879980325,0.4,audacity
H1,0.3079754601226994,0.3873456790123457,0.34313055365686945,0.47270044269552386,0.5272995573044761,0.4,audacity
H1,0.373015873015873,0.3626543209876543,0.36776212832550864,0.397442203639941,0.602557796360059,0.4,audacity
H1,0.4392935982339956,0.6141975308641975,0.5122265122265122,0.37284800787014266,0.6271519921298574,0.4,audacity
H1,0.38904899135446686,0.625,0.47957371225577267,0.4323659616330546,0.5676340383669454,0.4,audacity
H2,0.46449359720605354,0.5757575757575758,0.5141752577319589,0.3708804722085588,0.6291195277914412,0.4,audacity
H2,0.2815533980582524,0.2510822510822511,0.26544622425629283,0.47368421052631576,0.5263157894736843,0.4,audacity
H2,0.2767402376910017,0.2352092352092352,0.25429017160686423,0.47024102311854404,0.5297589768814559,0.4,audacity
H2,0.5468409586056645,0.3621933621933622,0.4357638888888889,0.31972454500737824,0.6802754549926218,0.4,audacity
H2,0.2100108813928183,0.2784992784992785,0.239454094292804,0.603049680275455,0.396950319724545,0.4,audacity
H2,0.4821600771456123,0.7215007215007215,0.5780346820809248,0.35907525823905556,0.6409247417609445,0.4,audacity
H2,0.41263940520446096,0.4805194805194805,0.44400000000000006,0.4102311854402361,0.5897688145597639,0.4,audacity
H2,0.4564047362755651,0.6118326118326118,0.5228113440197288,0.3807181505164781,0.6192818494835219,0.4,audacity
H2,0.4560260586319218,0.8080808080808081,0.5830296720458095,0.3939990162321692,0.6060009837678308,0.4,audacity
H2,0.3226773226773227,0.4660894660894661,0.38134592680047225,0.5154943433349729,0.4845056566650271,0.4,audacity
H3,0.49951783992285437,0.7766116941529235,0.607981220657277,0.32857845548450565,0.6714215445154943,0.4,audacity
H3,0.3090185676392573,0.3493253373313343,0.3279380717804363,0.46974913920314804,0.5302508607968519,0.4,audacity
H3,0.3413566739606127,0.46776611694152925,0.3946869070208729,0.47073290703394,0.52926709296606,0.4,audacity
H3,0.43195876288659796,0.6281859070464768,0.5119120342089188,0.39301524840137725,0.6069847515986228,0.4,audacity
H3,0.368944099378882,0.4452773613193403,0.4035326086956522,0.4318740777176586,0.5681259222823414,0.4,audacity
H3,0.3998025666337611,0.6071964017991005,0.4821428571428571,0.4279390063944909,0.5720609936055091,0.4,audacity
H3,0.4298056155507559,0.5967016491754122,0.49968612680477087,0.39203148057058534,0.6079685194294147,0.4,audacity
H3,0.33499377334993774,0.4032983508245877,0.3659863945578231,0.4584358091490408,0.5415641908509592,0.4,audacity
H3,0.4297520661157025,0.623688155922039,0.508868501529052,0.39498278406296117,0.6050172159370388,0.4,audacity
H3,0.2799227799227799,0.21739130434782608,0.24472573839662448,0.4402361042793901,0.5597638957206099,0.4,audacity
Baseline,0.773224043715847,0.6394448030987734,0.7000000000000001,0.19095816464237517,0.8090418353576249,0.4,jabRef_2
Baseline,0.7965811965811965,0.6016785022595222,0.6855461566752482,0.19230769230769232,0.8076923076923077,0.4,jabRef_2
Baseline,0.7965811965811965,0.6016785022595222,0.6855461566752482,0.19230769230769232,0.8076923076923077,0.4,jabRef_2
Baseline,0.7277245296414625,0.6617172369270498,0.6931530008453085,0.20411605937921729,0.7958839406207827,0.4,jabRef_2
Baseline,0.7615356220007383,0.6659134925758554,0.7105217840537283,0.1890463337831759,0.8109536662168241,0.4,jabRef_2
Baseline,0.7965811965811965,0.6016785022595222,0.6855461566752482,0.19230769230769232,0.8076923076923077,0.4,jabRef_2
Baseline,0.794560669456067,0.6129761136216915,0.6920553935860059,0.19005847953216373,0.8099415204678363,0.4,jabRef_2
Baseline,0.7904241915161697,0.6074887023886378,0.6869866764008031,0.19286999550157444,0.8071300044984255,0.4,jabRef_2
Baseline,0.8114285714285714,0.5500322788896062,0.6556367833782224,0.20130454340980658,0.7986954565901934,0.4,jabRef_2
Baseline,0.7969348659003831,0.6042608134280181,0.6873508353221958,0.1915204678362573,0.8084795321637427,0.4,jabRef_2
H1,0.749028749028749,0.6352553542009884,0.687466571581387,0.19714349977507872,0.8028565002249213,0.4,jabRef_2
H1,0.7863501483679525,0.6112026359143328,0.6878012606599926,0.18938371569950518,0.8106162843004948,0.4,jabRef_2
H1,0.7867740568037304,0.6115321252059308,0.6881720430107526,0.18915879442195233,0.8108412055780476,0.4,jabRef_2
H1,0.7819767441860465,0.6204283360790774,0.6918978504501194,0.18859649122807018,0.8114035087719298,0.4,jabRef_2
H1,0.7889790687740282,0.6085667215815486,0.6871279761904763,0.18915879442195233,0.8108412055780476,0.4,jabRef_2
H1,0.78839590443686,0.6088962108731466,0.6871165644171779,0.18927125506072875,0.8107287449392713,0.4,jabRef_2
H1,0.7896995708154506,0.6062602965403624,0.6859273066169618,0.1894961763382816,0.8105038236617184,0.4,jabRef_2
H1,0.7314165497896213,0.6873146622734762,0.7086801426872772,0.19286999550157444,0.8071300044984255,0.4,jabRef_2
H1,0.7407140281283808,0.6767710049423393,0.7073002754820937,0.19118308591992803,0.808816914080072,0.4,jabRef_2
H1,0.7354723707664884,0.6797364085667216,0.7065068493150685,0.192757534862798,0.807242465137202,0.4,jabRef_2
H2,0.7974358974358975,0.5994217796337937,0.684393911608289,0.193544759334233,0.806455240665767,0.4,jabRef_2
H2,0.7969217614365113,0.5987793125602313,0.6837857666911226,0.1938821412505623,0.8061178587494378,0.4,jabRef_2
H2,0.7974358974358975,0.5994217796337937,0.684393911608289,0.193544759334233,0.806455240665767,0.4,jabRef_2
H2,0.7974413646055437,0.6007067137809188,0.6852326859655551,0.19320737741790373,0.8067926225820963,0.4,jabRef_2
H2,0.7459105779716467,0.6591712174751044,0.6998635743519782,0.19793072424651373,0.8020692757534863,0.4,jabRef_2
H2,0.7556491765607047,0.6337937680693865,0.6893780573025855,0.19995501574448943,0.8000449842555106,0.4,jabRef_2
H2,0.7976952624839949,0.6003854802441375,0.6851173020527859,0.19320737741790373,0.8067926225820963,0.4,jabRef_2
H2,0.7969348659003831,0.6013491808544812,0.685463200292933,0.19320737741790373,0.8067926225820963,0.4,jabRef_2
H2,0.7992244722102542,0.5958882107292002,0.6827383143172617,0.1938821412505623,0.8061178587494378,0.4,jabRef_2
H2,0.7236215112321307,0.6829424991969162,0.7026937696248554,0.20231668915879442,0.7976833108412056,0.4,jabRef_2
H3,0.7895397489539749,0.6112730806608357,0.6890633558517436,0.1915204678362573,0.8084795321637427,0.4,jabRef_2
H3,0.793015332197615,0.6031746031746031,0.6851885924563018,0.19242015294646875,0.8075798470535313,0.4,jabRef_2
H3,0.790363482671175,0.6057661159701976,0.6858609939482853,0.1926450742240216,0.8073549257759784,0.4,jabRef_2
H3,0.793854033290653,0.6025267249757046,0.6850828729281768,0.19230769230769232,0.8076923076923077,0.4,jabRef_2
H3,0.7911016949152543,0.6047942986718496,0.6855149623646043,0.1926450742240216,0.8073549257759784,0.4,jabRef_2
H3,0.7931034482758621,0.6034985422740525,0.685430463576159,0.19230769230769232,0.8076923076923077,0.4,jabRef_2
H3,0.7937660119555935,0.6022027858762553,0.6848406704733836,0.19242015294646875,0.8075798470535313,0.4,jabRef_2
H3,0.7865903515944399,0.62325882734046,0.6954635821435027,0.1894961763382816,0.8105038236617184,0.4,jabRef_2
H3,0.794017094017094,0.6018788467768059,0.6847245255205453,0.19242015294646875,0.8075798470535313,0.4,jabRef_2
H3,0.7906289573659772,0.6067379332685455,0.6865835777126099,0.19230769230769232,0.8076923076923077,0.4,jabRef_2
Baseline,0.6148867313915858,0.657439446366782,0.6354515050167224,0.19055944055944055,0.8094405594405595,0.4,powertoys
Baseline,0.6117274167987322,0.6678200692041523,0.6385442514474772,0.1909965034965035,0.8090034965034965,0.4,powertoys
Baseline,0.617879746835443,0.6756055363321799,0.6454545454545455,0.1875,0.8125,0.4,powertoys
Baseline,0.5748138117806364,0.7344290657439446,0.6448917584504367,0.20432692307692307,0.7956730769230769,0.4,powertoys
Baseline,0.6491405460060667,0.5553633217993079,0.5986013986013986,0.1881555944055944,0.8118444055944056,0.4,powertoys
Baseline,0.612878200155159,0.6833910034602076,0.6462167689161554,0.1890297202797203,0.8109702797202797,0.4,powertoys
Baseline,0.6463654223968566,0.5692041522491349,0.6053357865685373,0.1875,0.8125,0.4,powertoys
Baseline,0.6436018957345971,0.5873702422145328,0.6142017186793307,0.18640734265734266,0.8135926573426573,0.4,powertoys
Baseline,0.6156225831399845,0.6885813148788927,0.6500612494895875,0.18728146853146854,0.8127185314685315,0.4,powertoys
Baseline,0.6429924242424242,0.5873702422145328,0.6139240506329113,0.1866258741258741,0.8133741258741258,0.4,powertoys
H1,0.5961049957662997,0.6342342342342342,0.6145787865560889,0.19296328671328672,0.8070367132867133,0.4,powertoys
H1,0.5849324804548686,0.7414414414414414,0.653953118792213,0.1903409090909091,0.8096590909090909,0.4,powertoys
H1,0.6239151398264223,0.5828828828828829,0.6027014438751748,0.18640734265734266,0.8135926573426573,0.4,powertoys
H1,0.5476878612716763,0.6828828828828829,0.6078588612670409,0.21372377622377622,0.7862762237762237,0.4,powertoys
H1,0.6240530303030303,0.5936936936936937,0.6084949215143122,0.1853146853146853,0.8146853146853147,0.4,powertoys
H1,0.5856929955290611,0.7081081081081081,0.6411092985318106,0.19230769230769232,0.8076923076923077,0.4,powertoys
H1,0.5250569476082004,0.8306306306306306,0.6434054431263083,0.22333916083916083,0.7766608391608392,0.4,powertoys
H1,0.6239316239316239,0.5918918918918918,0.6074895977808599,0.18553321678321677,0.8144667832167832,0.4,powertoys
H1,0.6240530303030303,0.5936936936936937,0.6084949215143122,0.1853146853146853,0.8146853146853147,0.4,powertoys
H1,0.625233644859813,0.6027027027027027,0.6137614678899082,0.1840034965034965,0.8159965034965035,0.4,powertoys
H2,0.6098484848484849,0.6035613870665417,0.6066886481394254,0.18247377622377622,0.8175262237762237,0.4,powertoys
H2,0.6098484848484849,0.6035613870665417,0.6066886481394254,0.18247377622377622,0.8175262237762237,0.4,powertoys
H2,0.6375176304654443,0.42361761949390814,0.5090090090090089,0.19055944055944055,0.8094405594405595,0.4,powertoys
H2,0.615530303030303,0.6091846298031866,0.6123410268487988,0.1798513986013986,0.8201486013986015,0.4,powertoys
H2,0.6334478808705613,0.5182755388940956,0.5701030927835051,0.18225524475524477,0.8177447552447552,0.4,powertoys
H2,0.6098484848484849,0.6035613870665417,0.6066886481394254,0.18247377622377622,0.8175262237762237,0.4,powertoys
H2,0.6069469835466179,0.6223055295220243,0.6145303100416474,0.18203671328671328,0.8179632867132867,0.4,powertoys
H2,0.580226904376013,0.6710402999062793,0.6223381138635377,0.18990384615384615,0.8100961538461539,0.4,powertoys
H2,0.6115859449192782,0.6035613870665417,0.6075471698113207,0.18181818181818182,0.8181818181818181,0.4,powertoys
H2,0.6189473684210526,0.5510777881911902,0.5830441249380267,0.18378496503496503,0.816215034965035,0.4,powertoys
H3,0.5957142857142858,0.7374005305039788,0.6590280521532991,0.18859265734265734,0.8114073426573427,0.4,powertoys
H3,0.5935943060498221,0.7374005305039788,0.6577287066246057,0.1896853146853147,0.8103146853146853,0.4,powertoys
H3,0.6172161172161172,0.5959328028293546,0.6063877642825012,0.19121503496503497,0.808784965034965,0.4,powertoys
H3,0.6160503540519277,0.6923076923076923,0.6519567027477102,0.18269230769230768,0.8173076923076923,0.4,powertoys
H3,0.6354166666666666,0.5932802829354553,0.6136259716506629,0.1846590909090909,0.8153409090909091,0.4,powertoys
H3,0.6543367346938775,0.4535809018567639,0.5357702349869451,0.19427447552447552,0.8057255244755245,0.4,powertoys
H3,0.6141429669485011,0.7064544650751547,0.6570723684210527,0.18225524475524477,0.8177447552447552,0.4,powertoys
H3,0.5920398009950248,0.7365163572060124,0.6564223798266352,0.19055944055944055,0.8094405594405595,0.4,powertoys
H3,0.6354166666666666,0.5932802829354553,0.6136259716506629,0.1846590909090909,0.8153409090909091,0.4,powertoys
H3,0.6397694524495677,0.5888594164456233,0.6132596685082874,0.18356643356643357,0.8164335664335665,0.4,powertoys
H1,0.6110080395794681,0.6337395766516998,0.6221662468513853,0.2976190476190476,0.7023809523809523,0.4,rmca
H1,0.5856416054267948,0.6645285439384221,0.6225961538461539,0.3115079365079365,0.6884920634920635,0.4,rmca
H1,0.6523101018010963,0.5343168697883258,0.587447108603667,0.29017857142857145,0.7098214285714286,0.4,rmca
H1,0.6074270557029178,0.5875561257216164,0.5973263775676556,0.3062996031746032,0.6937003968253967,0.4,rmca
H1,0.6195804195804195,0.568313021167415,0.5928404148544664,0.30183531746031744,0.6981646825396826,0.4,rmca
H1,0.6426116838487973,0.5997434252726106,0.6204379562043796,0.2837301587301587,0.7162698412698413,0.4,rmca
H1,0.7090336134453782,0.43296985246953174,0.5376344086021506,0.28794642857142855,0.7120535714285714,0.4,rmca
H1,0.6157469717362046,0.586914688903143,0.6009852216748769,0.3013392857142857,0.6986607142857143,0.4,rmca
H1,0.5987149532710281,0.6574727389352149,0.6267196575970652,0.30282738095238093,0.6971726190476191,0.4,rmca
H1,0.6030534351145038,0.5574085952533675,0.5793333333333334,0.31299603174603174,0.6870039682539683,0.4,rmca